NAME,ADDRESS,CITY,STATE,ZIP,TYPE,LATITUDE,LONGITUDE,WEBSITE,TTL_STAFF,BEDS,TRAUMA,HELIPAD,IP Address,No of Access Points connected,Patients,Suggestive_Factor,Recommended
CENTRAL VALLEY GENERAL HOSPITAL,1025 NORTH DOUTY STREET,HANFORD,CA,93230,GENERAL ACUTE CARE,36.3361588500001,-119.645667298,http://www.hanfordhealth.com,54,49,0.3420962989483350,0,194.148.6.141,187,167,0.21848620748987200,No
LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,150 VIA MERIDA,WESTLAKE VILAGE,CA,91362,GENERAL ACUTE CARE,34.1549388720001,-118.815736391,http://www.losrobleshospital.com,116,62,0.19745599032111100,1,5.179.244.127,103,83,1.1207195759415100,Yes
EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,LOS ANGELES,CA,90023,GENERAL ACUTE CARE,34.023647302,-118.184164805,http://www.elalax.com,94,127,0.647655333589125,1,119.161.19.207,48,28,8.437348074957830,Yes
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVENUE,HOLLYWOOD,CA,90028,GENERAL ACUTE CARE,34.0963913570001,-118.325234871,http://sch-hollywood.com/,72,100,0.44493515620383300,0,71.168.195.236,185,165,0.3546989830605940,No
KINDRED HOSPITAL BALDWIN PARK,14148 FRANCISQUITO AVENUE,BALDWIN PARK,CA,91706,GENERAL ACUTE CARE,34.063038932,-117.967437788,http://www.khbaldwinpark.com,59,95,0.4326236638444740,1,139.55.212.220,116,96,1.0204025437277900,Yes
LAKEWOOD REGIONAL MEDICAL CENTER,3700 EAST SOUTH STREET,LAKEWOOD,CA,90712,GENERAL ACUTE CARE,33.8597066200001,-118.148402965,http://www.lakewoodregional.com,42,172,0.3734746893248940,0,69.52.151.4,171,151,0.34515144930698000,No
MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,MONROVIA,CA,91016,GENERAL ACUTE CARE,34.1487586590001,-117.992667657,http://www.monroviamemorial.com,118,49,0.1045889561194790,1,84.9.14.36,165,145,0.6897974507113450,No
MONTEREY PARK HOSPITAL,900 SOUTH ATLANTIC BOULEVARD,MONTEREY PARK,CA,91754,GENERAL ACUTE CARE,34.0494660590001,-118.138262231,http://www.montereyparkhosp.com,76,101,0.6056019714415940,0,9.119.46.120,193,173,0.43103781287840300,No
STAR VIEW ADOLESCENT - P H F,4025 WEST 226 STREET,TORRANCE,CA,90505,PSYCHIATRIC,33.823914464,-118.356096947,http://www.starsinc.com/,43,16,0.6696828305368110,1,175.156.167.123,146,126,0.8565093416982370,No
CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,730 MAGNOLIA AVENUE,CORONA,CA,92879,GENERAL ACUTE CARE,33.8580833070001,-117.553858035,http://www.coronaregional.com,54,78,0.9022935224930670,0,14.144.217.238,183,163,0.5304120704414600,No
MODOC MEDICAL CENTER,228 MC DOWELL STREET,ALTURAS,CA,96101,GENERAL ACUTE CARE,41.4800562550001,-120.545743987,http://www.modocmedicalcenter.org,130,87,0.047054378357365100,1,58.178.198.184,97,77,1.4773136624456800,Yes
SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,SALINAS,CA,93901,GENERAL ACUTE CARE,36.659030456,-121.645983804,http://www.svmh.com,47,269,0.02570915780291380,1,74.125.220.159,28,8,99.28629207890150,Yes
CORPUS CHRISTI SPECIALTY HOSPITAL,1310 THIRD STREET,CORPUS CHRISTI,TX,78414,GENERAL ACUTE CARE,27.778510168,-97.396208313,NOT AVAILABLE,91,189,0.741421029616395,1,234.105.56.130,125,105,1.6507105148082000,Yes
HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,393 S. TUSTIN STREET,ORANGE,CA,92866,CHILDREN,33.7827271730001,-117.833891865,http://www.healthbridgeorange.com,133,27,0.6599262431831440,1,157.200.240.131,88,68,1.2182632946019500,Yes
HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,14851 YORBA STREET,TUSTIN,CA,92680,GENERAL ACUTE CARE,33.7474607400001,-117.831055631,http://www.tustinrehab.com,101,48,0.7739975286624760,1,84.10.57.115,153,133,1.0240330794423200,Yes
KINDRED HOSPITAL BREA,875 NORTH BREA BOULEVARD,BREA,CA,92621,GENERAL ACUTE CARE,33.934495886,-117.893948792,http://www.kindredhospitalbrea.com/,109,86,0.9945594399122110,1,92.34.147.208,105,85,1.6459994431395000,Yes
KINDRED HOSPITAL WESTMINSTER,200 HOSPITAL CIRCLE,WESTMINSTER,CA,92683,GENERAL ACUTE CARE,33.7635332090001,-117.995255963,http://www.khwestminster.com/,70,109,0.15847298952773400,1,23.238.105.97,116,96,0.9931904878194230,No
KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH,1100 SO. AKERS STREET,VISALIA,CA,93277,GENERAL ACUTE CARE,36.320843946,-119.348234528,http://www.kaweahdelta.org,119,63,0.5133671003625630,0,16.188.237.23,183,163,0.39776902573549900,No
CHARLTON MEMORIAL HOSPITAL,2449 THIRD STREET,FOLKSTON,GA,31537,GENERAL ACUTE CARE,30.845275348,-82.005057392,http://www.southcoast.org/charlton/,120,-999,0.9042648786399890,0,30.101.27.44,115,95,-6.189418807217400,No
DAUTERIVE HOSPITAL,600 N LEWIS AVE.,NEW IBERIA,LA,70563,GENERAL ACUTE CARE,30.006906977,-91.794523853,http://www.dauterivehospital.com,89,103,0.5839581947993960,0,175.161.174.110,133,113,0.6509343797240770,No
CROCKETT MEDICAL CENTER,1100 EAST LOOP 304,CROCKETT,TX,77954,GENERAL ACUTE CARE,31.32360364,-95.4388993059999,http://crockettmedicalcenter.com/,61,25,0.10501783467574700,0,56.67.178.186,148,128,0.09904822397849840,No
CENTRAL LOUISIANA STATE HOSPITAL,242 W SHAMROCK AVE,PINEVILLE,LA,71360,PSYCHIATRIC,31.3273789420001,-92.4401351129999,http://www.dhh.la.gov/omh/inpatient-serv/clsh.htm,83,128,0.21893420781359600,1,103.184.178.200,159,139,0.8844011135336290,No
REEVES MEMORIAL MEDICAL CENTER,409 1ST ST,BERNICE,LA,71222,GENERAL ACUTE CARE,32.8239916700001,-92.656648681,http://reevesmemorial.com/,54,11,0.38206773640261400,0,76.138.4.253,49,29,0.5441848789028530,No
SERENITY SPRINGS SPECIALTY HOSPITAL,309 N MAIN ST,FARMERVILLE,LA,71241,PSYCHIATRIC,32.776127934,-92.4056258479999,http://www.serenityhospital.com,116,18,0.16726056210087800,0,126.118.180.192,50,30,1.243630281050440,Yes
RIVERBRIDGE SPECIALTY HOSPITAL,209 FRONT ST.,VIDALIA,LA,71373,LONG TERM CARE,31.5611748630001,-91.4260669829999,http://www.promise-misslou.com,150,40,0.47535961609305100,1,26.249.54.96,99,79,1.218372004809870,Yes
CITIZENS MEDICAL CENTER,7939 HIGHWAY 165,COLUMBIA,LA,71418,GENERAL ACUTE CARE,32.0600399510001,-92.099137669,NOT AVAILABLE,71,40,0.24928709613071800,0,100.49.141.207,16,-4,88.87464354806540,Yes
BROWN MEMORIAL CONVALESCENT CENTER,545 COOK STREET,ROYSTON,GA,30662,LONG TERM CARE,34.2832503650001,-83.118972365,http://tycobbhealthcare.com/programsservices/longtermcare/brownmemorialconvalescentcenter.aspx,85,144,0.3562284014040740,0,231.205.202.5,72,52,2.4414278101694900,Yes
COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,LONG BEACH,CA,90806,GENERAL ACUTE CARE,33.8070928700001,-118.193389929,http://www.collegemedicalcenter.com,146,121,0.5466901536909490,1,127.197.150.125,10,-10,89.10334507684550,Yes
KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,SAN LEANDRO,CA,94577,GENERAL ACUTE CARE,37.706406198,-122.164654518,http://www.kaiserpermanente.org,45,216,0.9755604169215730,1,152.172.82.156,81,61,2.2938807190762100,Yes
KINDRED HOSPITAL PARAMOUNT,16453 SOUTH COLORADO AVENUE,PARAMOUNT,CA,90723,LONG TERM CARE,33.8846318610001,-118.162267066,http://www.promiseeastla.com/,61,177,0.20324494026366500,1,47.126.118.155,48,28,7.487464306866530,Yes
DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,11401 BLOOMFIELD AVENUE,NORWALK,CA,90650,PSYCHIATRIC,33.928031349,-118.067989672,http://www.dsh.ca.gov/metropolitan/default.asp,122,1265,0.24079642903945800,1,209.217.25.154,157,137,4.731698763296970,Yes
