NAME,ADDRESS,CITY,STATE,ZIP,TYPE,COUNTRY,LATITUDE,LONGITUDE,WEBSITE,TTL_STAFF,BEDS,TRAUMA,HELIPAD,IP Address,No of Access Points connected,Patients,Suggestive_Factor,Recommended
CENTRAL VALLEY GENERAL HOSPITAL,1025 NORTH DOUTY STREET,HANFORD,CA,93230,GENERAL ACUTE CARE,USA,36.3361588500001,-119.645667298,http://www.hanfordhealth.com,149,49,0.9092063618085770,1,222.49.121.194,14,8.400000000000000,10.0,Yes
LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,150 VIA MERIDA,WESTLAKE VILAGE,CA,91362,GENERAL ACUTE CARE,USA,34.1549388720001,-118.815736391,http://www.losrobleshospital.com,74,62,0.971700830890744,0,5.155.185.82,74,44.4,1.6495140791090400,Yes
EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,LOS ANGELES,CA,90023,GENERAL ACUTE CARE,USA,34.023647302,-118.184164805,http://www.elalax.com,49,127,0.6913413374698770,1,214.238.154.199,113,67.8,1.5225486979898200,Yes
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVENUE,HOLLYWOOD,CA,90028,GENERAL ACUTE CARE,USA,34.0963913570001,-118.325234871,http://sch-hollywood.com/,142,100,0.9003712736053090,0,1.234.179.108,123,73.8,1.753789458748730,Yes
KINDRED HOSPITAL BALDWIN PARK,14148 FRANCISQUITO AVENUE,BALDWIN PARK,CA,91706,GENERAL ACUTE CARE,USA,34.063038932,-117.967437788,http://www.khbaldwinpark.com,69,95,0.9807116908864100,0,93.69.16.202,99,59.4,1.4192576581834000,Yes
LAKEWOOD REGIONAL MEDICAL CENTER,3700 EAST SOUTH STREET,LAKEWOOD,CA,90712,GENERAL ACUTE CARE,USA,33.8597066200001,-118.148402965,http://www.lakewoodregional.com,123,172,0.5981253448800860,1,168.156.249.25,171,102.6,1.8039302670275500,Yes
MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,MONROVIA,CA,91016,GENERAL ACUTE CARE,USA,34.1487586590001,-117.992667657,http://www.monroviamemorial.com,74,49,0.3544607097853360,1,26.238.203.34,93,55.8,1.2595070471242700,Yes
MONTEREY PARK HOSPITAL,900 SOUTH ATLANTIC BOULEVARD,MONTEREY PARK,CA,91754,GENERAL ACUTE CARE,USA,34.0494660590001,-118.138262231,http://www.montereyparkhosp.com,136,101,0.1530924959663250,0,95.12.184.154,135,81.0,1.1233378955978600,Yes
STAR VIEW ADOLESCENT - P H F,4025 WEST 226 STREET,TORRANCE,CA,90505,PSYCHIATRIC,USA,33.823914464,-118.356096947,http://www.starsinc.com/,105,16,0.5481225039247510,1,195.240.93.53,155,93.0,0.871182306419538,No
CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,730 MAGNOLIA AVENUE,CORONA,CA,92879,GENERAL ACUTE CARE,USA,33.8580833070001,-117.553858035,http://www.coronaregional.com,57,78,0.5211874962108490,0,169.254.101.241,196,117.6,0.42133406464020200,No
MODOC MEDICAL CENTER,228 MC DOWELL STREET,ALTURAS,CA,96101,GENERAL ACUTE CARE,USA,41.4800562550001,-120.545743987,http://www.modocmedicalcenter.org,79,87,0.9543525706809180,0,128.34.177.105,74,44.4,2.2203890927424600,Yes
